split,cohort,target,n_samples,tn,fp,fn,tp,accuracy,precision,recall
exemplar,all,dsp,799,148,0,0,651,1.0,1.0,1.0
exemplar,all,bram,799,54,265,0,480,0.6683354192740926,0.6442953020134228,1.0
exemplar,exemplar,dsp,799,148,0,0,651,1.0,1.0,1.0
exemplar,exemplar,bram,799,54,265,0,480,0.6683354192740926,0.6442953020134228,1.0
test,2layer,dsp,125,40,0,1,84,0.992,1.0,0.9882352941176471
test,2layer,bram,125,0,0,0,125,1.0,1.0,1.0
test,3layer,dsp,116,38,0,0,78,1.0,1.0,1.0
test,3layer,bram,116,0,0,0,116,1.0,1.0,1.0
test,all,dsp,593,192,1,1,399,0.9966273187183811,0.9975,0.9975
test,all,bram,593,104,2,0,487,0.9966273187183811,0.9959100204498977,1.0
test,conv1d,dsp,55,18,0,0,37,1.0,1.0,1.0
test,conv1d,bram,55,0,0,0,55,1.0,1.0,1.0
test,conv2d,dsp,24,10,0,0,14,1.0,1.0,1.0
test,conv2d,bram,24,0,0,0,24,1.0,1.0,1.0
test,dense_latency,dsp,90,28,0,0,62,1.0,1.0,1.0
test,dense_latency,bram,90,90,0,0,0,1.0,,
test,dense_resource,dsp,59,24,0,0,35,1.0,1.0,1.0
test,dense_resource,bram,59,12,0,0,47,1.0,1.0,1.0
test,rule4ml,dsp,124,34,1,0,89,0.9919354838709677,0.9888888888888889,1.0
test,rule4ml,bram,124,2,2,0,120,0.9838709677419355,0.9836065573770492,1.0
